2.931499999999999773e+02,2.400000000000000000e+03
3.031499999999999773e+02,4.266000000000000000e+03
3.131499999999999773e+02,7.333000000000000000e+03
3.231499999999999773e+02,1.233200000000000000e+04
3.331499999999999773e+02,1.993200000000000000e+04
3.431499999999999773e+02,3.122400000000000000e+04
4.127500000000000000e+02,3.570000000000000000e+05
4.328500000000000227e+02,6.130000000000000000e+05
4.512500000000000000e+02,9.600000000000000000e+05
4.631499999999999773e+02,1.255000000000000000e+06
4.733500000000000227e+02,1.562000000000000000e+06
4.825500000000000114e+02,1.885000000000000000e+06
4.926499999999999773e+02,2.298000000000000000e+06
5.041499999999999773e+02,2.850000000000000000e+06
5.077699999999999818e+02,3.043000000000000000e+06
5.212799999999999727e+02,3.854000000000000000e+06
5.351799999999999500e+02,4.851000000000000000e+06
5.414900000000000091e+02,5.364000000000000000e+06
5.526000000000000227e+02,6.366000000000000000e+06
5.579700000000000273e+02,6.899000000000000000e+06
5.616900000000000546e+02,7.288000000000000000e+06
5.713099999999999454e+02,8.371000000000000000e+06
6.459500000000000455e+02,2.167400000000000000e+07
6.460399999999999636e+02,2.179400000000000000e+07
6.460700000000000500e+02,2.180400000000000000e+07
6.470900000000000318e+02,2.133600000000000000e+07
